;Westpoort;Westerpark;Bos en Lommer;de Baarsjes;Oud West;Slotervaart;West Centrum;New Side;Old Side;South Centrum;East Centrum;Oud Zuid;Rivierenbuurt;Buitenveldert;Oost;Zeeburg;Noord;Zuidoost
Westpoort;5;27;24;27;35;27;33;35;37;37;41;40;47;46;51;51;51;73
Westerpark;27;5;7;10;12;22;8;10;12;15;18;19;24;30;27;26;27;50
Bos en Lommer;24;7;5;5;11;15;11;17;16;14;20;17;24;27;29;31;34;50
de Baarsjes;27;10;5;5;6;12;9;11;12;10;15;12;19;23;24;26;30;45
Oud West;35;12;11;6;5;14;8;11;9;7;13;7;14;18;20;21;27;40
Slotervaart;27;22;15;12;14;5;21;24;22;18;23;17;22;21;31;32;39;51
West Centrum;33;8;11;9;8;21;5;4;6;6;10;12;16;23;15;20;22;39
New Side;35;10;17;11;11;24;4;5;5;7;10;15;16;27;15;17;21;39
Old Side;37;12;16;12;9;22;6;5;5;5;6;12;16;23;13;13;17;35
South Centrum;37;15;14;10;7;18;6;7;5;5;6;7;10;18;16;15;22;34
East Centrum;41;18;20;15;13;23;10;10;6;6;5;12;13;25;7;10;22;33
Oud Zuid;40;19;17;12;7;17;12;15;12;7;12;5;7;12;15;18;28;36
Rivierenbuurt;47;24;24;19;14;22;16;16;16;10;13;7;5;15;15;18;31;31
Buitenveldert;46;30;27;23;18;21;23;27;23;18;25;12;15;5;29;32;41;38
Oost;51;27;29;24;20;31;15;15;13;16;7;15;15;29;5;5;29;29
Zeeburg;51;26;31;26;21;32;20;17;13;15;10;18;18;32;5;5;26;30
Noord;51;27;34;30;27;39;22;21;17;22;22;28;31;41;29;26;5;49
Zuidoost;73;50;50;45;40;51;39;39;35;34;33;36;31;38;29;30;49;5
